ID,Category,Branch,Percentile
3210,0,0,88.8028432
3210,2,0,92.1445405
3210,0,2,86.6370673
3210,2,2,89.1600241
3210,0,3,71.6354089
3210,2,3,76.6367377
1105,0,6,44.476613
1105,1,6,3.8552498
1105,2,6,58.0840122
1105,3,6,16.2396627
1105,4,6,34.1365462
1105,5,6,15.6886806
1105,6,6,38.9045575
1105,7,6,34.1365462
1105,8,6,36.029881
1105,9,6,5.0725526
1105,0,1,89.4065093
1105,2,1,93.8586283
1105,3,1,82.251586
1105,4,1,84.0516274
1105,5,1,52.2415622
1105,6,1,88.7938441
1105,7,1,82.4643661
1105,8,1,85.1782223
1105,9,1,83.4300164
1105,0,2,86.3437564
1105,1,2,76.6166542
1105,2,2,91.889263
1105,3,2,76.9213416
1105,4,2,80.8641005
1105,5,2,36.6068088
1105,6,2,85.8062103
1105,7,2,82.2034564
1105,8,2,75.867353
1105,9,2,78.0359147
1105,0,3,78.067557
1105,1,3,63.6508999
1105,2,3,85.4445126
1105,3,3,66.4309764
1105,4,3,66.8171727
1105,6,3,76.8406961
1105,7,3,75.1725431
1105,8,3,67.9544349
1105,9,3,49.0455617
1105,0,5,47.387098
1105,1,5,10.7415831
1105,2,5,71.3590844
1105,3,5,32.3660798
1105,4,5,29.4111028
1105,6,5,41.1609401
1105,7,5,4.1911023
1105,8,5,12.8630551
1105,9,5,41.0926455
3175,0,6,31.7228694
3175,0,0,88.4658665
3175,1,0,83.3890161
3175,2,0,92.1155289
3175,3,0,66.4309764
3175,4,0,80.7328826
3175,5,0,28.3793174
3175,6,0,85.8062103
3175,7,0,84.2884307
3175,8,0,84.9532361
3175,9,0,86.0109616
3175,0,2,87.0556299
3175,1,2,80.8641005
3175,2,2,89.690179
3175,4,2,79.7807688
3175,6,2,85.1537884
3175,8,2,81.2344165
3175,9,2,83.2373857
3175,0,4,52.5567137
3175,1,4,9.0861638
3175,4,4,1.6809234
3175,5,4,45.9472716
3175,6,4,39.4392454
3175,0,3,71.9809302
3175,1,3,67.3938217
3175,2,3,79.7413145
3175,4,3,61.6397637
3175,6,3,67.5703113
3175,7,3,57.7272051
3175,8,3,52.7523799
3175,0,5,14.4711178
3175,1,5,37.6936381
3175,6,5,13.3188183
3175,0,1,86.1668982
3175,1,1,79.4628516
3175,2,1,86.0518493
3175,3,1,55.8997381
3175,4,1,75.3496766
3175,6,1,80.7328826
3175,9,1,65.3263316
3146,0,0,89.9583318
3146,1,0,85.9227307
